Id,MovieName,MoviePoster,MovieRating,PGRating,MovieDuration,ReleaseDate,Director,Actor,Writer,MovieGenre,Story
219,Everyone Says I Love You (1996) ,"https://m.media-amazon.com/images/M/MV5BYWNlODY4MjctNmE0MS00YmJmLTk3MWEtNjE4ZjIzMTFkY2EwXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UY268_CR4,0,182,268_AL_.jpg",6.7,R,1h 41min,"
",Woody Allen,"Woody Allen,Goldie Hawn,Julia Roberts",," Comedy, Musical, Romance","    Holden and Skylar are in love. Skylar lives with a large extended family in Manhattan. Her parents, Bob and Steffi, have been married for many years. Joe, a friend of theirs, has a daughter, DJ, with Steffi. After yet another relationship, Joe is alone again. He flees to Venice, where he meets Von, and makes her believe that he is the man of her dreams. However, their happiness is fake all the way, and Von returns to her husband. Steffi spends her time in philanthropy, and manages to break up Skylar and Holden by introducing Skylar to ex-con Charles Ferry."
220,Mother (1996) ,"https://m.media-amazon.com/images/M/MV5BOGQxNjYwYTAtNmQzNi00NzQ4LWFhYzEtNTdjM2U3YjYyZDMzXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.9,PG-13,1h 44min," Annem Annem
      ",Albert Brooks,"Albert Brooks,Debbie Reynolds,Paul Collins",Albert Brooks," Comedy, Drama","    After two failed marriages, a science fiction writer (Brooks) decides coming to terms with his mom will improve his chances for a successful relationship, so he moves in with his mom (Reynolds)."
221,Murder at 1600 (1997) ,"https://m.media-amazon.com/images/M/MV5BN2EyYTAyNjAtNGQ3MC00NTE0LThmNGItN2Q4MWY2YzMyYzczXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",6.1,R,1h 47min," 18 April 1997 (USA)
    ",Dwight H. Little,"Wesley Snipes,Diane Lane,Daniel Benzali",Wayne Beach," Action, Crime, Drama, Mystery, Thriller","    A 25 year old female White House staffer, Carla Town, is murdered in the White House. D.C. homicide detective Regis is assigned to investigate, only to find evidence suppressed by the Secret Service. After suspecting a cover-up, Regis convinces Secret Service Agent Nina Chance to assist in uncovering the truth. The President's son Kyle Neil is a prime suspect, as he was having sex with Carla within an hour of her murder. While the investigation ensues, the President, Jack Neil, is holding meetings with top military personnel regarding North Korea's holding 23 U.S. military personnel hostage. Regis confronts top Secret Service Agent Spikings at his home shortly after Spikings returns with evidence leading to the murder. The home is attacked and Spikings is killed, but Regis makes it out alive with Agent Chance's assistance, and with the evidence tape. White House adviser Jordan presents false evidence to the President that his son killed Carla and forces the President to say he will ..."
222,Dante's Peak (1997) ,"https://m.media-amazon.com/images/M/MV5BMTA1MWM3Y2MtM2YyMS00ZGI1LTgwMGQtMzczYjA5ZThmZTQ1XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",5.9,PG-13,1h 48min," 7 February 1997 (USA)
    ",Roger Donaldson,"Pierce Brosnan,Linda Hamilton,Jamie Renée Smith",," Action, Adventure, Thriller",    Volcanologist Harry Dalton and mayor Rachel Wando of Dante's Peak try to convince the city council and the other volcanologists that the volcano right above Dante's peak is indeed dangerous. People's safety is being set against economical interests.
223,Lost Highway (1997) ,"https://m.media-amazon.com/images/M/MV5BYWUxOWY4NDctMDFmMS00ZTQwLWExMGEtODg0ZWNhOTE5NzZmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR2,0,182,268_AL_.jpg",7.6,R,2h 14min,"
",David Lynch,"Bill Pullman,Patricia Arquette,John Roselius",David Lynch," Mystery, Thriller","    Fred Madison, a saxophonist, is accused under mysterious circumstances of murdering his wife Renee. On death row, he inexplicably morphs into a young man named Pete Dayton, leading a completely different life. When Pete is released, his and Fred's paths begin to cross in a surreal, suspenseful web of intrigue, orchestrated by a shady gangster boss named Dick Laurent."
224,Crash (1996) ,"https://m.media-amazon.com/images/M/MV5BZjlhMDBlNDQtMjZkZi00NzJmLWI4MTgtZDdkMzZmZDcyZGNmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR0,0,182,268_AL_.jpg",6.4,NC-17,1h 40min," Crash: Extraños placeres
      ",David Cronenberg,"James Spader,Holly Hunter,Elias Koteas",J.G. Ballard, Drama,"    Since a road accident left him with serious facial and bodily scarring, a former TV scientist has become obsessed by the marriage of motor-car technology with what he sees as the raw sexuality of car-crash victims. The scientist, along with a crash victim he has recently befriended, sets about performing a series of sexual acts in a variety of motor vehicles, either with other crash victims or with prostitutes whom they contort into the shape of trapped corpses. Ultimately, the scientist craves a suicidal union of blood, semen, and engine coolant, a union with which he becomes dangerously obsessed."
225,G.I. Jane (1997) ,"https://m.media-amazon.com/images/M/MV5BYTJhOTY4M2EtNjA2Ny00YjBjLWE4MjItZjRiOTRhMGFjZmU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",5.9,R,2h 5min," Hasta el límite
      ",Ridley Scott,"Demi Moore,Viggo Mortensen,Anne Bancroft","Danielle Alexandra,David Twohy"," Action, Drama, War","    When a crusading chairperson of the military budget committee pressures the would be Navy secretary to begin full gender integration of the service, he offers the chance for a test case for a female trainee in the US Navy's elite SEAL/C.R.T. selection program. LT. Jordan O'Neill is given the assignment, but no one expects her to succeed in an inhumanly punishing regime that has a standard 60% dropout rate for men. However, O'Neill is determined to prove everyone wrong."
226,Cop Land (1997) ,"https://m.media-amazon.com/images/M/MV5BNmNhMzI0NmQtMzU1OS00NzQzLTg0NzctZDJkODZlMjU3OTc5XkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.9,R,1h 45min," 15 August 1997 (USA)
    ",James Mangold,"Sylvester Stallone,Harvey Keitel,Ray Liotta",," Crime, Drama, Thriller","    Sometime in the 1970's, police officers from New York City wanted a safe haven to live, away from the dangers of the streets of New York City, this is when they established a ""Cop Land"" in the small New Jersey town of Garrison. Freddy Heflin who was always admired by the New York cops wanted to become one, but because he was deaf in one ear this prevents him from achieving his goal, but has become sheriff of Garrison. Recently there have been a dark omen surrounding the NYPD, and Freddy is now investigating on this case, then Internal Affairs officer Mo Tilden is also on the case and asks Freddy for help, but Freddy could not. Now Freddy suspects that a New York City cop named Ray Donlan might be one of the many cops who is corrupted by the mob and other criminals. Now, Freddy must find a cop who is nicknamed ""Superboy"" who can testify against Donlan and protect him, before Donlan finds Superboy and kills him."
227,Conspiracy Theory (1997) ,"https://m.media-amazon.com/images/M/MV5BMjQ1MTYxMzA4OF5BMl5BanBnXkFtZTgwNjg2NTM1MTI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.7,R,2h 15min," 8 August 1997 (USA)
    ",Richard Donner,"Mel Gibson,Julia Roberts,Patrick Stewart",," Action, Mystery, Thriller","    Jerry Fletcher is a man in love with a woman he observes from afar. She works for the government. Fletcher is an outspoken critic of that government. He has conspiracy theories for everything, from aliens to political assassinations. But soon, one of his theories finds itself to be accurate. But which one? Some dangerous people want him dead, and the only person he trusts is the woman he loves, but does not know."
228,Desperate Measures (1998) ,"https://m.media-amazon.com/images/M/MV5BMzk0MzBlODktMjJhMC00ZDMwLTk5MzktOTQwMTNiYWU2ZjA4XkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_UX182_CR0,0,182,268_AL_.jpg",6.1,R,1h 40min," Medidas Desesperadas
      ",Barbet Schroeder,"Michael Keaton,Andy Garcia,Brian Cox",," Action, Crime, Drama, Thriller","    San Francisco police officer Frank Connor is in a frantic search for a compatible bone marrow donor for his gravely ill son. There's only one catch: the potential donor is convicted multiple murderer Peter McCabe who sees a trip to the hospital as the perfect opportunity to get what he wants most: freedom. With McCabe's escape, the entire hospital becomes a battleground and Connor must pursue and, ironically, protect the deadly fugitive who is his son's only hope for survival."
229,The Edge (1997) ,"https://m.media-amazon.com/images/M/MV5BOTU3MGE1OTgtM2YwNC00ODAyLTg3Y2YtYTM0NTc2ZTc3ZDFkL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR7,0,182,268_AL_.jpg",6.9,R,1h 57min," Al filo del peligro
      ",Lee Tamahori,"Anthony Hopkins,Alec Baldwin,Elle Macpherson",," Action, Adventure, Drama, Thriller","    A model has her rich, much older husband come with her to a photo shoot. But when their plane crashes in the middle of nowhere, a strong mind game erupts between the clever husband and the jealous young photographer as they try to get back to civilization."
230,Kiss the Girls (1997) ,"https://m.media-amazon.com/images/M/MV5BMjE2MWE1ZDYtNjNkYS00YjZmLWJkZjctOTYzYTVjMDFiN2M5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.6,R,1h 55min," Besos que matan
      ",Gary Fleder,"Morgan Freeman,Ashley Judd,Cary Elwes",James Patterson," Crime, Drama, Mystery, Thriller","    Alex Cross, a Washington D.C. cop and forensic psychologist learns that his niece who is going to college in North Carolina is missing. So he goes there and learns that the police think she's among the victims of someone who kidnaps young girls and holds them captive and kills them who dubs himself Cassanova after the great lover. Later Kate, one of his victims, escapes and tries to help Cross find his niece."
231,The Game (1997) ,"https://m.media-amazon.com/images/M/MV5BZGVmMDNmYmEtNGQ2Mi00Y2ZhLThhZTYtYjE5YmQzMjZiZGMxXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY268_CR3,0,182,268_AL_.jpg",7.8,R,2h 9min," Igra
      ",David Fincher,"Michael Douglas,Deborah Kara Unger,Sean Penn",John Brancato," Drama, Mystery, Thriller","    Nicholas Van Orton is a very wealthy San Francisco banker, but he is an absolute loner, even spending his birthday alone. In the year of his 48th birthday (the age his father committed suicide) his brother Conrad, who has gone long ago and surrendered to addictions of all kinds, suddenly returns and gives Nicholas a card giving him entry to unusual entertainment provided by something called Consumer Recreation Services (CRS). Giving in to curiosity, Nicholas visits CRS and all kinds of weird and bad things start to happen to him."
232,U Turn (1997) ,"https://m.media-amazon.com/images/M/MV5BODc0Mjc5MDctNzg1Yi00OGY5LWE5Y2QtZDIyODZiYTgzM2IxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.8,R,2h 5min," U-Turn - Kein Weg zurück
      ",Oliver Stone,"Sean Penn,Jennifer Lopez,Nick Nolte",John Ridley," Crime, Drama, Thriller","    When Bobby's car breaks down in the desert while on the run from some of the bookies who have already taken two of his fingers, he becomes trapped in the nearby small town where the people are stranger than anyone he's encountered. After becoming involved with a (unbeknownst to him) young married woman, her husband hires Bobby to kill her. Later, she hires Bobby to kill the husband."
233,How to Be a Player (1997) ,"https://m.media-amazon.com/images/M/MV5BMTUxNzQ3MjcyMV5BMl5BanBnXkFtZTcwOTI4MTU1MQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",5.3,R,1h 33min," Alla goda ting är sex
      ",Lionel C. Martin,"Bill Bellamy,Natalie Desselle Reid,Lark Voorhies","Mark Brown,Mark Brown", Comedy,"    Dray is a young playboy whose only objective in life seems to be to have sex with as many girls as he can without getting caught by his girlfriend Lisa. Dray's sister Jenny and her friend Katrina plan to show him that the way he lives is wrong and organize a party in Malibu, inviting all of his girlfriends."
234,Playing God (1997) ,"https://m.media-amazon.com/images/M/MV5BOTg4ZjdmNmQtNzhiMS00ZDJiLWIyMTEtNDU5NDYwYWU0ODU5XkEyXkFqcGdeQXVyNTE4MzAyNDk@._V1_UX182_CR0,0,182,268_AL_.jpg",5.6,R,1h 34min," Playing Hero
      ",Andy Wilson,"David Duchovny,Timothy Hutton,Angelina Jolie",," Crime, Thriller, Drama","    Stripped of his medical license after performing an operation while high on amphetamines, famed LA surgeon Dr Eugene Sands abandons his former life only to find himself crossing paths with Raymond Blossom, an infamous counterfeiter. Employed as a ""gun-shot doctor"" when Raymond's associates cannot risk visiting a hospital, Eugene is lured deep into the criminal world and becomes entangled with his boss's girlfriend."
235,The House of Yes (1997) ,"https://m.media-amazon.com/images/M/MV5BMjI5MjMxNzYxOF5BMl5BanBnXkFtZTgwNDQ4MzMzNzE@._V1_UX182_CR0,0,182,268_AL_.jpg",6.6,R,1h 25min," 10 October 1997 (USA)
    ",Mark Waters,"Parker Posey,Josh Hamilton,Tori Spelling",Wendy MacLeod," Comedy, Drama","    'Jackie-O' is anxiously awaiting the visit of her brother home for Thanksgiving, but isn't expecting him to bring a friend. She's even more shocked to learn that this friend is his fiancée. It soon becomes clear that 'Jackie-O's obsession is nothing compared to her obsession with her brother, as it also becomes clear she isn't the only member of the family with problems..."
236,Bean (1997) ,"https://m.media-amazon.com/images/M/MV5BMWMzMTZmMGYtYWEzYy00NWNjLWFjN2ItODI3ZDRmNzgxODc1XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY268_CR0,0,182,268_AL_.jpg",6.5,PG-13,1h 29min," Bean: The Ultimate Disaster Movie
      ",Mel Smith,"Rowan Atkinson,Peter MacNicol,John Mills","Rowan Atkinson,Richard Curtis"," Adventure, Comedy, Family","    Bean (Rowan Atkinson) works as a caretaker at Britain's formidable Royal National Gallery, and his bosses want to fire him because he sleeps at work all the time, but can't because the chairman of the gallery's board defends him. They send him to the U.S., to the small Los Angeles art gallery instead, where he'll have to officiate at the opening of the greatest U.S. picture ever (called ""Whistler's Mother"")."
237,Mad City (1997) ,"https://m.media-amazon.com/images/M/MV5BYmQ0MWU1MjUtMzgxZS00NTE5LWEwNzgtMzY0NDUwNzFmOTI3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.3,PG-13,1h 55min," El cuarto poder
      ",Costa-Gavras,"John Travolta,Dustin Hoffman,Alan Alda","Tom Matthews,Tom Matthews"," Crime, Drama, Thriller","    Sam Baily, upset over losing his job, takes a natural history museum hostage. Max Brackett, journalist, is in the museum when this occurs, and gets the scoop. The story spreads nation wide, and soon it is all anyone talks about. The story itself is the news, not the reason why or the real people behind it."
238,Boogie Nights (1997) ,"https://m.media-amazon.com/images/M/MV5BY2E2YWYxY2QtZmJmZi00MjJlLWFiYWItZTk5Y2IyMWQ1ZThhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg",7.9,R,2h 35min," 31 October 1997 (USA)
    ",Paul Thomas Anderson,"Mark Wahlberg,Julianne Moore,Burt Reynolds",, Drama,"    Adult film director Jack Horner is always on the lookout for new talent and it's only by chance that he meets Eddie Adams who is working as a busboy in a restaurant. Eddie is young, good looking and plenty of libido to spare. Using the screen name Dirk Diggler, he quickly rises to the top of his industry winning awards year after year. Drugs and ego however come between Dirk and those around him and he soon finds that fame is fleeting."
